recorded_date,tail_number,aircraft,date,time,flt_num,dept/dest,altitude,oat,latitude,cg(%mac)_(%),gross_wt_x_1000_(kg),gen_load(%_of_max),lhv,thrust_setting,thrust_setting_dev,thrust_dev_(%),ff_dev_due_to_thrust_setting_(%),book_fn/eng_(kg),book_fn/delta/eng_(kg),fn/delta_eng1_(kg),fn/delta_eng2_(kg),fn/delta_eng3_(kg),fn/delta_eng4_(kg),actual_fn_eng1_(kg),actual_fn_eng2_(kg),actual_fn_eng3_(kg),actual_fn_eng4_(kg),book_ff_eng_1,%ff_dev_eng1_(%),book_ff_eng_2,%ff_dev_eng2_(%),book_ff_eng_3_(%),%ff_dev_eng3_(%),book_ff_eng_4_(%),%ff_dev_eng4_(%),fuel_flow,book_value_of_total_ff,%ff_dev_total_(%),perf_factor,book_fm,fm_dev_(%),mach,cas_(kts),tas_(kts),ground_speed_(kts),dvg/dt,dhp/dt,quality_factor,wt/delta_(kg),sn_eng_1,sn_eng_2,sn_eng_3,sn_eng_4,timestamp,is_year_plausible,perf_factor_isna,fuel_flow_isna
2025-07-17,FHMRO,FHMRO,2025/07/17,03:27:31,CMA1,KPAELFPG,370,-13,52 N,29.1,204.9,30.0,18580.7,83.120,-0.231,-0.9,-0.8,11408.0,53359.0,52882.,52882.,0.0,0.,11306.,11306.0,0.,0.0,6565.,0.3,6565.0,-0.4,0.0,0.0,0.,0.0,13123.0,13130.,-0.1,0.03704,0.03672,0.9,0.825,269,486.,534.,0.024,-0.012,0,2106992., , , , ,2025-07-17 03:27:31,True,False,False
2025-07-17,FHMRO,FHMRO,2025/07/17,09:24:15,CMA1,KPAELFPG,410,-21,50 N,22.1,172.1,24.0,18588.6,82.220,-0.11,-0.4,-0.7,9483.0,53757.0,53523.,53528.,0.0,0.,9442.,9442.0,0.,0.0,5375.,0.9,5374.0,0.6,0.0,0.0,0.,0.0,10830.0,10749.,0.8,0.044,0.04403,-0.1,0.82,243,477.,533.,0.007,-0.011,0,2143743., , , , ,2025-07-17 09:24:15,True,False,False
2025-07-17,FHMRO,FHMRO,2025/07/17,09:27:15,CMA1,KPAELFPG,410,-21,50 N,22.1,171.6,24.0,18588.6,82.180,-0.07,-0.3,-0.5,9482.0,53752.0,53601.,53605.,0.0,0.,9455.,9456.0,0.,0.0,5376.,0.7,5375.0,0.4,0.0,0.0,0.,0.0,10810.0,10751.,0.5,0.04404,0.04404,0.0,0.82,243,476.,534.,0.009,-0.018,0,2138420., , , , ,2025-07-17 09:27:15,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,08:21:18,CMA572,LFPGVHHH,370,-16,43 N,34.3,227.1,29.0,18603.6,84.425,-0.119,-0.5,-0.8,12204.0,57083.0,56796.,56771.,0.0,0.,12143.,12137.0,0.,0.0,6929.,1.2,6926.0,0.4,0.0,0.0,0.,0.0,13962.0,13855.,0.8,0.03489,0.03489,0.0,0.831,271,487.,547.,0.012,0.000,2,2332645., , , , ,2025-07-23 08:21:18,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,08:22:15,CMA572,LFPGVHHH,370,-16,43 N,34.3,227.0,30.0,18603.6,84.450,0.287,1.3,0.9,12009.0,56168.0,56892.,56892.,0.0,0.,12164.,12164.0,0.,0.0,6938.,1.6,6938.0,0.9,0.0,0.0,0.,0.0,14047.0,13876.,1.2,0.03468,0.03541,-2.1,0.831,271,487.,548.,-0.003,0.028,2,2331470., , , , ,2025-07-23 08:22:15,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,08:25:17,CMA572,LFPGVHHH,370,-15,43 N,34.4,226.6,29.0,18607.6,84.310,0.434,1.9,1.5,11837.0,55367.0,56440.,56440.,0.0,0.,12066.,12066.0,0.,0.0,6889.,1.7,6889.0,0.6,0.0,0.0,0.,0.0,13938.0,13779.,1.2,0.03496,0.03589,-2.6,0.831,271,487.,545.,-0.014,-0.032,0,2328466., , , , ,2025-07-23 08:25:17,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,08:26:34,CMA572,LFPGVHHH,370,-15,43 N,34.4,226.5,30.0,18606.3,84.180,0.176,0.8,0.4,11895.0,55636.0,56079.,56079.,0.0,0.,11989.,11989.0,0.,0.0,6856.,1.2,6856.0,0.7,0.0,0.0,0.,0.0,13840.0,13711.,0.9,0.03526,0.03574,-1.4,0.832,271,488.,544.,-0.011,0.011,0,2327098., , , , ,2025-07-23 08:26:34,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,10:26:28,CMA572,LFPGVHHH,390,-13,41 N,31.1,213.9,30.0,18596.5,85.820,0.006,0.0,-0.1,11466.0,59042.0,59059.,59054.,0.0,0.,11470.,11469.0,0.,0.0,6640.,1.2,6640.0,0.4,0.0,0.0,0.,0.0,13384.0,13280.,0.8,0.03662,0.03688,-0.7,0.832,259,490.,545.,0.0,0.014,0,2417584., , , , ,2025-07-23 10:26:28,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,10:30:03,CMA572,LFPGVHHH,390,-13,41 N,31.1,213.5,29.0,18596.5,85.810,0.06,0.3,0.2,11414.0,58772.0,58926.,58921.,0.0,0.,11444.,11443.0,0.,0.0,6630.,0.6,6630.0,0.7,0.0,0.0,0.,0.0,13349.0,13260.,0.7,0.03673,0.03704,-0.8,0.832,259,490.,544.,-0.003,0.022,0,2413495., , , , ,2025-07-23 10:30:03,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,10:33:16,CMA572,LFPGVHHH,390,-13,41 N,31.1,213.2,29.0,18596.5,85.970,0.153,0.7,0.5,11449.0,58953.0,59341.,59336.,0.0,0.,11524.,11523.0,0.,0.0,6668.,1.7,6668.0,0.5,0.0,0.0,0.,0.0,13485.0,13336.,1.1,0.03632,0.03691,-1.6,0.831,259,490.,543.,0.003,-0.013,0,2409933., , , , ,2025-07-23 10:33:16,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,10:48:26,CMA572,LFPGVHHH,390,-13,41 N,30.8,211.6,30.0,18600.4,85.875,-0.042,-0.2,-0.2,11477.0,59097.0,59006.,58977.,0.0,0.,11460.,11454.0,0.,0.0,6636.,1.0,6635.0,0.5,0.0,0.0,0.,0.0,13376.0,13271.,0.8,0.03663,0.03683,-0.5,0.831,259,490.,553.,0.011,0.026,2,2392181., , , , ,2025-07-23 10:48:26,True,False,False
2025-07-23,FHMRO,FHMRO,2025/07/23,11:11:28,CMA572,LFPGVHHH,390,-12,41 N,30.4,209.3,29.0,18600.4,85.550,-0.078,-0.3,-0.4,11321.0,58295.0,58101.,58097.,0.0,0.,11283.,11282.0,0.,0.0,6545.,1.3,6546.0,0.7,0.0,0.0,0.,0.0,13219.0,13091.,1.0,0.03708,0.0373,-0.6,0.831,259,490.,547.,0.008,0.006,0,2366302., , , , ,2025-07-23 11:11:28,True,False,False
