AIRAC cycle,date,%THRST REQD,%FUEL FLOW,Fuel Flow factor = -(%FM),update_flag,remarks,Unnamed: 7,Date of Event,Position Y,event,Unnamed: 11,Date of Actual value,Position/Value,Actual value
2309,2023-09-07,-0.017,0.03,0.015,YES,Manual input,,2023-10-12,0.06,LH engine wash,,2025-11-27,0.024,"2512, actual value"
2310,2023-10-05,-0.018,0.03,0.015,NO,Manual input,,2023-11-29,0.05,RH engine wash,,,,
2311,2023-11-02,-0.018,0.031,0.016,NO,Manual input,,2024-02-02,0.04,Dual engine wash,,,,
2312,2023-11-30,-0.017,0.032,0.016,YES,,,2024-04-12,0.05,RH engine  + Airframe wash,,,,
2408,2024-08-08,-0.019,0.032,0.016,NO,,,2024-05-01,0.07,New line maintenance provider,,,,
2409,2024-09-05,-0.018,0.032,0.016,NO,,,2024-06-07,0.06,LH engine wash,,,,
2410,2024-10-03,-0.018,0.032,0.016,YES,,,2025-01-07,0.07,RH engine wash,,,,
2411,2024-10-31,-0.019,0.033,0.017,NO,,,2025-02-18,0.06,LH engine wash,,,,
2412,2024-11-28,-0.019,0.033,0.017,NO,,,,,,,,,
2413,2024-12-26,-0.018,0.035,0.018,YES,,,,,,,,,
2501,2025-01-23,-0.017,0.037,0.02,NO,,,,,,,,,
2502,2025-02-20,-0.016,0.042,0.024,YES,Previous value incorrect: 1.5%. Correct value updated in the table,,,,,,,,
2503,2025-03-20,-0.015,0.042,0.025,YES,"Update done (2.5-1.5>0.3) since 2502 value was incorrect. Correction taken into account in the ""Update ?"" column computation",,,,,,,,
2504,2025-04-17,-0.015,0.041,0.024,NO,,,,,,,,,
2505,2025-05-15,-0.014,0.038,0.022,NO,,,,,,,,,
2506,2025-06-12,-0.014,0.038,0.022,YES,,,,,,,,,
2507,2025-07-10,-0.014,0.038,0.022,NO,,,,,,,,,
2508,2025-08-07,-0.014,0.038,0.021,NO,,,,,,,,,
2509,2025-09-04,-0.014,0.038,0.022,YES,,,,,,,,,
2510,2025-10-02,-0.015,0.039,0.022,NO,,,,,,,,,
2511,2025-10-30,-0.015,0.04,0.023,NO,,,,,,,,,
2512,2025-11-27,-0.017,0.041,0.024,YES,,,,,,,,,
