event_idx,event_date,next_event_date,event_name,prev_event_date,tail_number,metric,baseline_before,mean_after,drift_rate,n_points_prev,n_points_curr,valid
0,2023-09-07,2023-10-05,LH engine wash,,FHMRB,perf_factor,0.0315735294117647,0.032566428571428566,8.99354850892028e-05,17,98,False
1,2023-10-05,2023-11-02,RH engine wash,2023-09-07,FHMRB,perf_factor,0.033292857142857145,0.031672,2.7199666558771156e-05,98,73,True
2,2023-11-02,2023-11-30,Dual engine wash,2023-10-05,FHMRB,perf_factor,0.032572191780821914,0.032077777777777775,-7.044533630239366e-05,73,60,True
3,2023-11-30,2024-08-08,RH engine  + Airframe wash,2023-11-02,FHMRB,perf_factor,0.032084999999999995,0.03477529411764706,6.8509393415485066e-06,60,126,True
4,2024-08-08,2024-09-05,New line maintenance provider,2023-11-30,FHMRB,perf_factor,0.033058095238095234,0.03596833333333333,1.1110795606875044e-05,126,67,True
5,2024-09-05,2024-10-03,LH engine wash,2024-08-08,FHMRB,perf_factor,0.03347402985074626,0.033605789473684214,2.670965434474648e-05,67,76,True
6,2024-10-03,2024-10-31,RH engine wash,2024-09-05,FHMRB,perf_factor,0.03330973684210526,0.034250555555555555,-0.00020533376696289975,76,72,True
7,2024-10-31,2024-11-28,LH engine wash,2024-10-03,FHMRB,perf_factor,0.03294319444444445,,,72,0,False
8,2024-11-28,2024-12-26,nan,2024-10-31,FHMRB,perf_factor,,0.038533333333333336,-0.0002869195578307154,0,61,False
9,2024-12-26,2025-01-23,nan,2024-11-28,FHMRB,perf_factor,0.033347377049180324,0.034048125,-4.187974407374796e-05,61,60,True
10,2025-01-23,2025-02-20,nan,2024-12-26,FHMRB,perf_factor,0.034764166666666665,,0.0012588703568360373,60,5,False
11,2025-02-20,2025-03-20,nan,2025-01-23,FHMRB,perf_factor,0.03444,0.03020166666666667,0.0001553350918263205,5,60,True
12,2025-03-20,2025-04-17,nan,2025-02-20,FHMRB,perf_factor,0.03260383333333333,0.03372714285714286,0.00013173027191976572,60,58,True
13,2025-04-17,2025-05-15,nan,2025-03-20,FHMRB,perf_factor,0.03222672413793103,0.033543,-7.659059876754898e-05,58,40,True
14,2025-05-15,2025-06-12,nan,2025-04-17,FHMRB,perf_factor,0.03200175,0.03396214285714286,0.00022978198267106155,40,55,True
15,2025-06-12,2025-07-10,nan,2025-05-15,FHMRB,perf_factor,0.035052181818181816,0.035450666666666665,-8.231045840865776e-05,55,61,True
16,2025-07-10,2025-08-07,nan,2025-06-12,FHMRB,perf_factor,0.033478360655737706,0.03643,-0.0002751114684756125,61,66,True
17,2025-08-07,2025-09-04,nan,2025-07-10,FHMRB,perf_factor,0.03489545454545455,0.034520540540540545,6.720982334726394e-05,66,181,True
18,2025-09-04,2025-10-02,nan,2025-08-07,FHMRB,perf_factor,0.034717679558011055,0.03764933333333333,-0.0001479823112917422,181,152,True
19,2025-10-02,2025-10-30,nan,2025-09-04,FHMRB,perf_factor,0.03536940789473684,0.035581212121212125,3.946855795113402e-06,152,124,True
20,2025-10-30,2025-11-27,nan,2025-10-02,FHMRB,perf_factor,0.0340733870967742,0.03223,-4.0025621323684096e-05,124,70,True
